local_entity_key,geo_entity_id,type_key,name_or_title,slug,description,source_file,json_pointer
initiative:race-to-the-top,,initiative,Race to the Top,race-to-the-top,Large policy adoption effects; achievement effects were not consistently strong or easy to attribute.,content/initiatives.json,$[?slug=='race-to-the-top']
initiative:reading-first,,initiative,Reading First,reading-first,Improved some reading instruction measures but did not produce clear broad comprehension gains in the national impact study.,content/initiatives.json,$[?slug=='reading-first']
initiative:reading-recovery,,initiative,Reading Recovery,reading-recovery,"Short-run reading gains are supported in some studies, but cost, scale, and longer-run durability remain contested.",content/initiatives.json,$[?slug=='reading-recovery']
initiative:remote-learning-and-virtual-schooling-during-covid,,initiative,Remote learning and virtual schooling during COVID,remote-learning-and-virtual-schooling-during-covid,"Emergency remote learning was generally associated with large losses, especially when it replaced in-person schooling for long periods.",content/initiatives.json,$[?slug=='remote-learning-and-virtual-schooling-during-covid']
initiative:restorative-practices,,initiative,Restorative practices,restorative-practices,"Can reduce suspensions and improve climate, but academic effects are not automatically positive and depend on execution.",content/initiatives.json,$[?slug=='restorative-practices']
initiative:saga-style-and-tech-infused-tutoring,,initiative,Saga-style and tech-infused tutoring,saga-style-and-tech-infused-tutoring,"Strong evidence for intensive tutoring models; the technology role is a support, not the whole treatment.",content/initiatives.json,$[?slug=='saga-style-and-tech-infused-tutoring']
initiative:school-finance-reforms-adequacy-and-equity-funding,,initiative,School finance reforms / adequacy and equity funding,school-finance-reforms-adequacy-and-equity-funding,Modern causal finance research rejects the simple 'money does not matter' claim: sustained targeted dollars can matter.,content/initiatives.json,$[?slug=='school-finance-reforms-adequacy-and-equity-funding']
initiative:school-improvement-grants,,initiative,School Improvement Grants,school-improvement-grants,The national evaluation found weak average impacts despite large funding; implementation and model quality varied.,content/initiatives.json,$[?slug=='school-improvement-grants']
initiative:science-of-reading-state-policy-wave,,initiative,Science of Reading state policy wave,science-of-reading-state-policy-wave,"Highly influential and evidence-aligned in direction, but cross-state causal estimates are still emerging.",content/initiatives.json,$[?slug=='science-of-reading-state-policy-wave']
initiative:social-and-emotional-learning-programs,,initiative,Social and emotional learning programs,social-and-emotional-learning-programs,"Meta-analytic evidence supports positive average effects, though program content and measurement vary widely.",content/initiatives.json,$[?slug=='social-and-emotional-learning-programs']
initiative:state-test-based-accountability-before-nclb,,initiative,State test-based accountability before NCLB,state-test-based-accountability-before-nclb,"Pre-NCLB accountability often raised measured math achievement more than reading, with risks of narrowing and gaming.",content/initiatives.json,$[?slug=='state-test-based-accountability-before-nclb']
initiative:success-for-all,,initiative,Success for All,success-for-all,"One of the better-studied comprehensive literacy models, with positive evidence in multiple reviews.",content/initiatives.json,$[?slug=='success-for-all']
initiative:summer-learning-programs,,initiative,Summer learning programs,summer-learning-programs,Benefits are clearest for students who attend enough days and receive well-planned instruction.,content/initiatives.json,$[?slug=='summer-learning-programs']
initiative:teach-for-america-and-alternate-route-pipelines,,initiative,Teach For America and alternate-route pipelines,teach-for-america-and-alternate-route-pipelines,"Some evaluations show positive math effects, but reading effects and turnover tradeoffs vary by context.",content/initiatives.json,$[?slug=='teach-for-america-and-alternate-route-pipelines']
initiative:teacher-coaching,,initiative,Teacher coaching,teacher-coaching,"Coaching has stronger evidence than generic PD, especially at smaller scale and with clear instructional focus.",content/initiatives.json,$[?slug=='teacher-coaching']
initiative:teacher-merit-pay-point-and-similar-incentives,,initiative,Teacher merit pay / POINT and similar incentives,teacher-merit-pay-point-and-similar-incentives,Simple test-score bonuses alone have often produced null or modest effects.,content/initiatives.json,$[?slug=='teacher-merit-pay-point-and-similar-incentives']
initiative:tennessee-voluntary-pre-k,,initiative,Tennessee Voluntary Pre-K,tennessee-voluntary-pre-k,A cautionary scaled pre-K case: short-run gains did not translate into broad long-run academic benefits in the evaluation.,content/initiatives.json,$[?slug=='tennessee-voluntary-pre-k']
initiative:traditional-workshop-professional-development,,initiative,Traditional workshop professional development,traditional-workshop-professional-development,"Often weak when isolated from coaching, materials, and accountability for classroom use.",content/initiatives.json,$[?slug=='traditional-workshop-professional-development']
input_variable:input-variable:accountability-and-incentives,,input_variable,Accountability and incentives,input-variable-accountability-and-incentives,"Code stakes, affected grades/subjects, thresholds, consequences, and timing.",content/methods.json,$[?section=='Input variable' && item=='Accountability and incentives']
input_variable:input-variable:counterfactual-context,,input_variable,Counterfactual context,input-variable-counterfactual-context,"Use baseline trends, matched controls, cohort fixed effects, and sensitivity analyses.",content/methods.json,$[?section=='Input variable' && item=='Counterfactual context']
input_variable:input-variable:curriculum-content,,input_variable,Curriculum content,input-variable-curriculum-content,"Use common rubrics, curriculum review ratings, lesson artifacts, topic coverage, and teacher usage surveys.",content/methods.json,$[?section=='Input variable' && item=='Curriculum content']
input_variable:input-variable:dosage-and-intensity,,input_variable,Dosage and intensity,input-variable-dosage-and-intensity,Convert planned exposure to attended exposure; report ITT and treatment-on-treated where possible.,content/methods.json,$[?section=='Input variable' && item=='Dosage and intensity']
input_variable:input-variable:early-childhood-quality,,input_variable,Early childhood quality,input-variable-early-childhood-quality,"Use classroom quality observations, curriculum indicators, and counterfactual care type.",content/methods.json,$[?section=='Input variable' && item=='Early childhood quality']
input_variable:input-variable:finance-and-resources,,input_variable,Finance and resources,input-variable-finance-and-resources,"Use real dollars, exposure years, district fixed effects, and cost-effectiveness ratios.",content/methods.json,$[?section=='Input variable' && item=='Finance and resources']
input_variable:input-variable:governance-and-choice,,input_variable,Governance and choice,input-variable-governance-and-choice,Use lottery offers for ITT where possible; otherwise match on prior achievement and demographics.,content/methods.json,$[?section=='Input variable' && item=='Governance and choice']
input_variable:input-variable:implementation-and-fidelity,,input_variable,Implementation and fidelity,input-variable-implementation-and-fidelity,"Separate intent-to-treat, implementation-on-treated, and mediator analyses.",content/methods.json,$[?section=='Input variable' && item=='Implementation and fidelity']
input_variable:input-variable:pedagogy-and-instructional-model,,input_variable,Pedagogy and instructional model,input-variable-pedagogy-and-instructional-model,"Use validated observation rubrics, video coding, instructional logs, and common categories.",content/methods.json,$[?section=='Input variable' && item=='Pedagogy and instructional model']
input_variable:input-variable:staffing-ratio-and-adult-contact,,input_variable,Staffing ratio and adult contact,input-variable-staffing-ratio-and-adult-contact,Normalize to effective contact hours and adult qualification level.,content/methods.json,$[?section=='Input variable' && item=='Staffing ratio and adult contact']
input_variable:input-variable:target-population,,input_variable,Target population,input-variable-target-population,"Use baseline covariates, subgroup indicators, baseline achievement quantiles, and cohort definitions.",content/methods.json,$[?section=='Input variable' && item=='Target population']
input_variable:input-variable:teacher-supports,,input_variable,Teacher supports,input-variable-teacher-supports,"Report content focus, active practice, coaching cycles, and alignment to adopted materials.",content/methods.json,$[?section=='Input variable' && item=='Teacher supports']
input_variable:input-variable:technology-role,,input_variable,Technology role,input-variable-technology-role,"Separate access, active academic use, teacher-mediated use, and substitution for in-person instruction.",content/methods.json,$[?section=='Input variable' && item=='Technology role']
input_variable:input-variable:time-structure,,input_variable,Time structure,input-variable-time-structure,Convert to active learning time using attendance and instructional-use measures.,content/methods.json,$[?section=='Input variable' && item=='Time structure']
input_variable:input-variable:whole-child-supports,,input_variable,Whole-child supports,input-variable-whole-child-supports,"Track service eligibility, take-up, completion, and schoolwide climate exposure.",content/methods.json,$[?section=='Input variable' && item=='Whole-child supports']
method:core-resource:education-recovery-scorecard,,method,Education Recovery Scorecard,core-resource-education-recovery-scorecard,"Harvard/Stanford recovery data linking pandemic recovery patterns, relief, and district outcomes.",content/methods.json,$[?section=='Core resource' && item=='Education Recovery Scorecard']
method:core-resource:essa-evidence-tiers,,method,ESSA evidence tiers,core-resource-essa-evidence-tiers,Operational evidence tiers for federal education program decisions.,content/methods.json,$[?section=='Core resource' && item=='ESSA evidence tiers']
method:core-resource:naep,,method,NAEP,core-resource-naep,Low-stakes nationally representative assessment useful for cross-state comparison and trend checks.,content/methods.json,$[?section=='Core resource' && item=='NAEP']
method:core-resource:seda,,method,SEDA,core-resource-seda,Harmonized district/county achievement and gap data for cross-place comparisons.,content/methods.json,$[?section=='Core resource' && item=='SEDA']
method:core-resource:what-works-clearinghouse,,method,What Works Clearinghouse,core-resource-what-works-clearinghouse,Central federal source for systematic evidence reviews and intervention reports.,content/methods.json,$[?section=='Core resource' && item=='What Works Clearinghouse']
method:design-glossary:difference-in-differences-event-study,,method,Difference-in-differences / event study,design-glossary-difference-in-differences-event-study,Compares pre-post changes for treated vs comparison groups; relies on parallel pre-trends.,content/methods.json,$[?section=='Design glossary' && item=='Difference-in-differences / event study']
method:design-glossary:lottery-design,,method,Lottery design,design-glossary-lottery-design,Uses oversubscribed admissions lotteries as random or near-random offers; estimates effects for applicants.,content/methods.json,$[?section=='Design glossary' && item=='Lottery design']
method:design-glossary:matched-comparison-virtual-control,,method,Matched comparison / virtual control,design-glossary-matched-comparison-virtual-control,Matches treated students/schools to similar untreated units; sensitive to unobserved selection.,content/methods.json,$[?section=='Design glossary' && item=='Matched comparison / virtual control']
method:design-glossary:meta-analysis-systematic-review,,method,Meta-analysis / systematic review,design-glossary-meta-analysis-systematic-review,Aggregates effects across studies; results depend on inclusion rules and comparability.,content/methods.json,$[?section=='Design glossary' && item=='Meta-analysis / systematic review']
method:design-glossary:rct,,method,RCT,design-glossary-rct,Random assignment to treatment/control; strongest internal validity when implemented and analyzed well.,content/methods.json,$[?section=='Design glossary' && item=='RCT']
method:design-glossary:regression-discontinuity,,method,Regression discontinuity,design-glossary-regression-discontinuity,Compares students/schools just above and below an eligibility cutoff; local to the cutoff.,content/methods.json,$[?section=='Design glossary' && item=='Regression discontinuity']
method:evidence-signal:limited-descriptive,,method,Limited/descriptive,evidence-signal-limited-descriptive,"Implementation, trend, or correlational evidence without strong causal identification.",content/methods.json,$[?section=='Evidence signal' && item=='Limited/descriptive']
method:evidence-signal:mixed-conditional,,method,Mixed/conditional,evidence-signal-mixed-conditional,"Evidence varies by context, outcome, implementation, or student group; may include positive and null/negative findings.",content/methods.json,$[?section=='Evidence signal' && item=='Mixed/conditional']
method:evidence-signal:not-an-outcome-intervention,,method,Not an outcome intervention,evidence-signal-not-an-outcome-intervention,"A research infrastructure, standard, or framework that shapes evidence use but is not itself a student intervention.",content/methods.json,$[?section=='Evidence signal' && item=='Not an outcome intervention']
method:evidence-signal:promising-causal-quasi,,method,Promising causal/quasi,evidence-signal-promising-causal-quasi,"Credible lottery, regression discontinuity, difference-in-differences, or well-controlled evidence, but narrower samples or mixed replication.",content/methods.json,$[?section=='Evidence signal' && item=='Promising causal/quasi']
method:evidence-signal:strong-causal-evidence,,method,Strong causal evidence,evidence-signal-strong-causal-evidence,"Multiple RCTs, high-quality RCT/lottery evidence, or strong quasi-experimental evidence with clear student outcome effects.",content/methods.json,$[?section=='Evidence signal' && item=='Strong causal evidence']
method:normalization:common-scales,,method,Common scales,normalization-common-scales,Use low-stakes national or harmonized data such as NAEP or SEDA when state tests change.,content/methods.json,$[?section=='Normalization' && item=='Common scales']
method:normalization:cost-effectiveness,,method,Cost-effectiveness,normalization-cost-effectiveness,"Pair credible effect estimates with full implementation costs, not only grant totals or software licenses.",content/methods.json,$[?section=='Normalization' && item=='Cost-effectiveness']
method:normalization:effect-sizes,,method,Effect sizes,normalization-effect-sizes,Convert outcome differences to standard deviations to compare tests and grades; interpret with outcome and age context.,content/methods.json,$[?section=='Normalization' && item=='Effect sizes']
method:normalization:itt-vs-tot,,method,ITT vs TOT,normalization-itt-vs-tot,Intent-to-treat estimates effect of offer/assignment; treatment-on-treated estimates effect among compliers and needs stronger assumptions.,content/methods.json,$[?section=='Normalization' && item=='ITT vs TOT']
outcome:outcome:academic-growth,,outcome,Academic growth,outcome-academic-growth,Growth metrics are less sensitive to baseline level but still depend on test scale and ceiling/floor.,content/methods.json,$[?section=='Outcome' && item=='Academic growth']
outcome:outcome:achievement-test-scores,,outcome,Achievement test scores,outcome-achievement-test-scores,Convert to student-level or grade-level SD; use common NAEP/SEDA scales for cross-state comparisons.,content/methods.json,$[?section=='Outcome' && item=='Achievement test scores']
outcome:outcome:attendance-and-engagement,,outcome,Attendance and engagement,outcome-attendance-and-engagement,Use same chronic absenteeism threshold and handle remote/partial days consistently.,content/methods.json,$[?section=='Outcome' && item=='Attendance and engagement']
outcome:outcome:behavior-and-climate,,outcome,Behavior and climate,outcome-behavior-and-climate,Standardize reporting rules; separate actual behavior from adult referral behavior.,content/methods.json,$[?section=='Outcome' && item=='Behavior and climate']
outcome:outcome:completion,,outcome,Completion,outcome-completion,Use consistent cohort graduation definitions and diploma requirements.,content/methods.json,$[?section=='Outcome' && item=='Completion']
outcome:outcome:cost-effectiveness,,outcome,Cost-effectiveness,outcome-cost-effectiveness,"Include start-up, training, administrative, facilities, opportunity costs, and participant time.",content/methods.json,$[?section=='Outcome' && item=='Cost-effectiveness']
outcome:outcome:coursework-and-grades,,outcome,Coursework and grades,outcome-coursework-and-grades,Normalize course titles and rigor; credit inflation can mask learning.,content/methods.json,$[?section=='Outcome' && item=='Coursework and grades']
outcome:outcome:grade-progression,,outcome,Grade progression,outcome-grade-progression,Define on-track consistently; account for policy-induced retention.,content/methods.json,$[?section=='Outcome' && item=='Grade progression']
outcome:outcome:health-crime-and-civic-outcomes,,outcome,"Health, crime, and civic outcomes",outcome-health-crime-and-civic-outcomes,Use consistent legal/reporting definitions and subgroup precision checks.,content/methods.json,"$[?section=='Outcome' && item=='Health, crime, and civic outcomes']"
outcome:outcome:implementation-mediators,,outcome,Implementation mediators,outcome-implementation-mediators,"Use as mechanism evidence, not final student outcome unless the theory is explicitly adult practice.",content/methods.json,$[?section=='Outcome' && item=='Implementation mediators']
outcome:outcome:labor-market-and-adult-outcomes,,outcome,Labor market and adult outcomes,outcome-labor-market-and-adult-outcomes,Use real dollars and discounting; account for local labor markets and mobility.,content/methods.json,$[?section=='Outcome' && item=='Labor market and adult outcomes']
outcome:outcome:math-subskills-and-course-readiness,,outcome,Math subskills and course readiness,outcome-math-subskills-and-course-readiness,"Normalize by grade, course content, and test alignment.",content/methods.json,$[?section=='Outcome' && item=='Math subskills and course readiness']
outcome:outcome:postsecondary-outcomes,,outcome,Postsecondary outcomes,outcome-postsecondary-outcomes,"Compare enrollment quality, persistence, and degree, not only initial entry.",content/methods.json,$[?section=='Outcome' && item=='Postsecondary outcomes']
outcome:outcome:proficiency-and-cut-score-metrics,,outcome,Proficiency and cut-score metrics,outcome-proficiency-and-cut-score-metrics,Do not equate state proficient with NAEP Proficient; map state standards carefully.,content/methods.json,$[?section=='Outcome' && item=='Proficiency and cut-score metrics']
outcome:outcome:reading-subskills,,outcome,Reading subskills,outcome-reading-subskills,Report domains separately; early decoding gains do not guarantee comprehension gains.,content/methods.json,$[?section=='Outcome' && item=='Reading subskills']
outcome:outcome:sel-and-noncognitive-outcomes,,outcome,SEL and noncognitive outcomes,outcome-sel-and-noncognitive-outcomes,"Use common scales or standardize within sample; triangulate self, teacher, and admin measures.",content/methods.json,$[?section=='Outcome' && item=='SEL and noncognitive outcomes']
research_design:descriptive,,research_design,Descriptive,descriptive,Research design tag: Descriptive.,content/*.json,
research_design:difference-in-differences,,research_design,Difference-in-differences,difference-in-differences,Research design tag: Difference-in-differences.,content/*.json,
research_design:event-study,,research_design,Event study,event-study,Research design tag: Event study.,content/*.json,
research_design:lottery,,research_design,Lottery,lottery,Research design tag: Lottery.,content/*.json,
research_design:matched-comparison,,research_design,Matched comparison,matched-comparison,Research design tag: Matched comparison.,content/*.json,
research_design:meta-analysis,,research_design,Meta-analysis,meta-analysis,Research design tag: Meta-analysis.,content/*.json,
research_design:rct,,research_design,RCT,rct,Research design tag: RCT.,content/*.json,
research_design:regression-discontinuity,,research_design,Regression discontinuity,regression-discontinuity,Research design tag: Regression discontinuity.,content/*.json,
research_design:systematic-review,,research_design,Systematic review,systematic-review,Research design tag: Systematic review.,content/*.json,
source:src-001,,source,National Assessment of Educational Progress,src-001,"Important agenda-setting reform, but not a discrete intervention with clean causal estimates.",content/sources.json,$[?id=='src-001']
source:src-002,,source,ies.ed.gov (ies.ed.gov),src-002,"Important agenda-setting reform, but not a discrete intervention with clean causal estimates.",content/sources.json,$[?id=='src-002']
source:src-003,,source,W15531 (nber.org),src-003,"Pre-NCLB accountability often raised measured math achievement more than reading, with risks of narrowing and gaming.",content/sources.json,$[?id=='src-003']
source:src-004,,source,Rtt Evaluation (mathematica.org),src-004,Large policy adoption effects; achievement effects were not consistently strong or easy to attribute.,content/sources.json,$[?id=='src-004']
source:src-005,,source,Rr2658.Html (rand.org),src-005,Large policy adoption effects; achievement effects were not consistently strong or easy to attribute.,content/sources.json,$[?id=='src-005']
source:src-006,,source,School Improvement Grants Implementation And Effectiveness (ies.ed.gov),src-006,The national evaluation found weak average impacts despite large funding; implementation and model quality varied.,content/sources.json,$[?id=='src-006']
source:src-007,,source,ies.ed.gov (ies.ed.gov),src-007,"Useful infrastructure for comparing studies, but it does not itself improve learning without good implementation.",content/sources.json,$[?id=='src-007']
source:src-008,,source,Handbooks (ies.ed.gov),src-008,"Useful infrastructure for comparing studies, but it does not itself improve learning without good implementation.",content/sources.json,$[?id=='src-008']
source:src-009,,source,Implementation (c-sail.org),src-009,Implementation was uneven; evidence does not support the idea that standards alone generate large achievement gains.,content/sources.json,$[?id=='src-009']
source:src-010,,source,mdek12.org (mdek12.org),src-010,"Mississippi is one of the most cited recent literacy success cases, but the causal mechanism is a policy bundle rather than one isolated program.",content/sources.json,$[?id=='src-010']
source:src-011,,source,Literacy Series Part 1 (mississippifirst.org),src-011,"Mississippi is one of the most cited recent literacy success cases, but the causal mechanism is a policy bundle rather than one isolated program.",content/sources.json,$[?id=='src-011']
source:src-012,,source,National Assessment of Educational Progress,src-012,"Mississippi is one of the most cited recent literacy success cases, but the causal mechanism is a policy bundle rather than one isolated program.",content/sources.json,$[?id=='src-012']
source:src-013,,source,Ms Read By Grade Three (wheelockpolicycenter.org),src-013,"Mississippi is one of the most cited recent literacy success cases, but the causal mechanism is a policy bundle rather than one isolated program.",content/sources.json,$[?id=='src-013']
source:src-014,,source,Report of the National Reading Panel,src-014,"Highly influential and evidence-aligned in direction, but cross-state causal estimates are still emerging.",content/sources.json,$[?id=='src-014']
source:src-015,,source,Reading First Impact Study: Final Report,src-015,"Highly influential and evidence-aligned in direction, but cross-state causal estimates are still emerging.",content/sources.json,$[?id=='src-015']
source:src-016,,source,ies.ed.gov (ies.ed.gov),src-016,"One of the better-studied comprehensive literacy models, with positive evidence in multiple reviews.",content/sources.json,$[?id=='src-016']
source:src-017,,source,Jrr 23 1 Fall 2023 Schwartz.Pdf (readingrecovery.org),src-017,"Short-run reading gains are supported in some studies, but cost, scale, and longer-run durability remain contested.",content/sources.json,$[?id=='src-017']
source:src-018,,source,eric.ed.gov (eric.ed.gov),src-018,A major counterexample to claims that highly explicit instruction is inherently low-level.,content/sources.json,$[?id=='src-018']
source:src-019,,source,Study Knowledge Rich Curriculum Significantly Boosts Reading Scores (education.virginia.edu),src-019,"Recent causal work finds promising long-term reading gains, supporting a content-rich view of comprehension.",content/sources.json,$[?id=='src-019']
source:src-020,,source,Rra134 13.Html (rand.org),src-020,"Often weak when isolated from coaching, materials, and accountability for classroom use.",content/sources.json,$[?id=='src-020']
source:src-021,,source,Ed613847.Pdf (files.eric.ed.gov),src-021,"One of the strongest short-run academic interventions when frequent, sustained, curriculum-aligned, and attended.",content/sources.json,$[?id=='src-021']
source:src-022,,source,W16381 (nber.org),src-022,"Small early classes produced lasting benefits, but broad policy is expensive and sensitive to teacher labor supply.",content/sources.json,$[?id=='src-022']
source:src-023,,source,The Effect of Teacher Coaching on Instruction and Achievement,src-023,"Coaching has stronger evidence than generic PD, especially at smaller scale and with clear instructional focus.",content/sources.json,$[?id=='src-023']
source:src-024,,source,The Effectiveness Of Secondary Math Teachers From Teach For America And The Teaching Fello (mathematica.org),src-024,"Some evaluations show positive math effects, but reading effects and turnover tradeoffs vary by context.",content/sources.json,$[?id=='src-024']
source:src-025,,source,Point (my.vanderbilt.edu),src-025,Coaching has more consistent developmental evidence than simple merit pay; evaluation systems can change workforce composition but carry trust costs.,content/sources.json,$[?id=='src-025']
source:src-026,,source,W19403 (nber.org),src-026,"More consequential evaluation can change teacher performance and composition, but sustainability and trust are central concerns.",content/sources.json,$[?id=='src-026']
source:src-027,,source,Met Project (cepr.harvard.edu),src-027,"Influential for teacher evaluation design, but not itself a school improvement program.",content/sources.json,$[?id=='src-027']
source:src-028,,source,Improving Teaching Effectiveness: Final Report,src-028,The initiative did not deliver broad expected student achievement gains despite major investment and implementation effort.,content/sources.json,$[?id=='src-028']
source:src-029,,source,New York City Small Schools of Choice Evaluation,src-029,"NYC small schools produced meaningful graduation gains, showing school design can matter when implementation and choice systems align.",content/sources.json,$[?id=='src-029']
source:src-030,,source,Rr1365.Html (rand.org),src-030,"Early RAND evidence was promising, but heterogeneity and later critiques caution against treating personalized learning as one proven model.",content/sources.json,$[?id=='src-030']
source:src-031,,source,Networks For School Improvement Initiative Lessons Learned To Inform Student And Teacher S (usprogram.gatesfoundation.org),src-031,"The final evaluation found promising effects on some targeted outcomes, with engagement and CI fidelity tied to stronger results.",content/sources.json,$[?id=='src-031']
source:src-032,,source,Actualdownload (mathematica.org),src-032,"The final evaluation found promising effects on some targeted outcomes, with engagement and CI fidelity tied to stronger results.",content/sources.json,$[?id=='src-032']
source:src-033,,source,National Charter School Study Iii (credo.stanford.edu),src-033,"Charter effects are highly heterogeneous: urban/no-excuses and some CMOs show strong gains, while many charters are neutral or weaker.",content/sources.json,$[?id=='src-033']
source:src-034,,source,W16832 (nber.org),src-034,"Charter effects are highly heterogeneous: urban/no-excuses and some CMOs show strong gains, while many charters are neutral or weaker.",content/sources.json,$[?id=='src-034']
source:src-035,,source,20174022 (ies.ed.gov),src-035,DC and Louisiana show why voucher evidence cannot be generalized: non-test outcomes may improve in some contexts while test scores can fall in others.,content/sources.json,$[?id=='src-035']
source:src-036,,source,Free to Choose: Can School Choice Reduce Student Achievement?,src-036,DC and Louisiana show why voucher evidence cannot be generalized: non-test outcomes may improve in some contexts while test scores can fall in others.,content/sources.json,$[?id=='src-036']
source:src-037,,source,Rr3245.Html (rand.org),src-037,"Evidence is promising for attendance and some academic outcomes, but the model is complex and slower-moving than a single curriculum change.",content/sources.json,$[?id=='src-037']
source:src-038,,source,The Evidence Is Clear An Update On Research Examining Social And Emotional Learning (casel.org),src-038,"Meta-analytic evidence supports positive average effects, though program content and measurement vary widely.",content/sources.json,$[?id=='src-038']
source:src-039,,source,Studies (pbis.org),src-039,Good evidence for behavior/climate improvements; academic effects are often indirect through instructional time.,content/sources.json,$[?id=='src-039']
source:src-040,,source,Rb10051.Html (rand.org),src-040,"Can reduce suspensions and improve climate, but academic effects are not automatically positive and depend on execution.",content/sources.json,$[?id=='src-040']
source:src-041,,source,educationrecoveryscorecard.org (educationrecoveryscorecard.org),src-041,"Attendance is a crucial mediator after COVID, but interventions vary from low-cost nudges to intensive case management.",content/sources.json,$[?id=='src-041']
source:src-042,,source,eric.ed.gov (eric.ed.gov),src-042,The national RCT found early positive impacts with substantial fadeout on many early academic measures.,content/sources.json,$[?id=='src-042']
source:src-043,,source,cehd.uchicago.edu (cehd.uchicago.edu),src-043,"Classic studies show large long-run benefits, but they are not evidence that every scaled pre-K program will replicate them.",content/sources.json,$[?id=='src-043']
source:src-044,,source,Tnprekevaluation (my.vanderbilt.edu),src-044,A cautionary scaled pre-K case: short-run gains did not translate into broad long-run academic benefits in the evaluation.,content/sources.json,$[?id=='src-044']
source:src-045,,source,W28756 (nber.org),src-045,Shows that test-score fadeout can coexist with meaningful long-run gains in college and discipline outcomes.,content/sources.json,$[?id=='src-045']
source:src-046,,source,Kraft%20Novicoff%20 %20Time%20In%20School%20 %20Feb%202024 1.Pdf (edworkingpapers.com),src-046,"Often improves short-run early skills, but durability varies with subsequent instruction quality.",content/sources.json,$[?id=='src-046']
source:src-047,,source,National Summer Learning Project.Html (rand.org),src-047,Benefits are clearest for students who attend enough days and receive well-planned instruction.,content/sources.json,$[?id=='src-047']
source:src-048,,source,Learning In One To One Laptop Environments A Meta Analysis And Re (scholar.usuhs.edu),src-048,"Meta-analytic evidence shows some positive average effects, but technology access alone is not an instructional model.",content/sources.json,$[?id=='src-048']
source:src-049,,source,Students Computers And Learning 9789264239555 En.Html (oecd.org),src-049,"Meta-analytic evidence shows some positive average effects, but technology access alone is not an instructional model.",content/sources.json,$[?id=='src-049']
source:src-050,,source,Generative AI Use in K-12 Education: A Systematic Review,src-050,"Treat AI as an emerging tool, not a proven replacement for teacher-led instruction or high-dosage tutoring.",content/sources.json,$[?id=='src-050']
source:src-051,,source,Career Academies Long Term Impacts Work Education And Transitions Adulthood (mdrc.org),src-051,"One of the strongest CTE-related causal studies, with notable long-run earnings effects especially for young men.",content/sources.json,$[?id=='src-051']
source:src-052,,source,2024 Systematic Review (cteresearchnetwork.org),src-052,"Evidence is increasingly positive for completion and college/career readiness, but quality varies by pathway.",content/sources.json,$[?id=='src-052']
source:src-053,,source,Air Early College Follow Efficacy Study (nces.ed.gov),src-053,"One of the strongest causal postsecondary-readiness models, with positive impacts on college enrollment and degree attainment.",content/sources.json,$[?id=='src-053']
source:src-054,,source,Outcomes Associated Dual Enrollment Programs (nces.ed.gov),src-054,"Advanced access can help, but expansion must track pass rates, credit quality, and whether support keeps up with access.",content/sources.json,$[?id=='src-054']
source:src-055,,source,College Preparatory Curriculum All Consequences Ninth Grade Coursetaking Algebra And (consortium.uchicago.edu),src-055,The Chicago case reduced course-taking inequities but increased failures and did not clearly improve achievement or college outcomes.,content/sources.json,$[?id=='src-055']
source:src-056,,source,2461148 (academic.oup.com),src-056,Modern causal finance research rejects the simple 'money does not matter' claim: sustained targeted dollars can matter.,content/sources.json,$[?id=='src-056']
topic:accountability,,topic,Accountability,accountability,Dossier topic: Accountability.,content/dichotomies.json,
topic:curriculum,,topic,Curriculum,curriculum,Dossier topic: Curriculum.,content/dichotomies.json,
topic:early-childhood,,topic,Early childhood,early-childhood,Dossier topic: Early childhood.,content/dichotomies.json,
topic:education-reform,,topic,Education reform,education-reform,Dossier topic: Education reform.,content/dichotomies.json,
topic:equity,,topic,Equity,equity,Dossier topic: Equity.,content/dichotomies.json,
topic:finance,,topic,Finance,finance,Dossier topic: Finance.,content/dichotomies.json,
topic:governance,,topic,Governance,governance,Dossier topic: Governance.,content/dichotomies.json,
topic:improvement,,topic,Improvement,improvement,Dossier topic: Improvement.,content/dichotomies.json,
topic:instruction,,topic,Instruction,instruction,Dossier topic: Instruction.,content/dichotomies.json,
topic:language,,topic,Language,language,Dossier topic: Language.,content/dichotomies.json,
topic:literacy,,topic,Literacy,literacy,Dossier topic: Literacy.,content/dichotomies.json,
topic:pathways,,topic,Pathways,pathways,Dossier topic: Pathways.,content/dichotomies.json,
topic:school-climate,,topic,School climate,school-climate,Dossier topic: School climate.,content/dichotomies.json,
topic:school-design,,topic,School design,school-design,Dossier topic: School design.,content/dichotomies.json,
topic:teacher-workforce,,topic,Teacher workforce,teacher-workforce,Dossier topic: Teacher workforce.,content/dichotomies.json,
topic:technology,,topic,Technology,technology,Dossier topic: Technology.,content/dichotomies.json,
